Date,Close,High,Low,Open,Volume,RSI,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30,MACD,MACD_signal,target
2021-08-13,7027.005894922741,5513.767198393014,5419.514767651253,5440.935774638017,86929000,57.8118554200311,5472.595376336357,5383.093450567916,5540.392350925643,5592.474819125076,5543.029848553914,102.66322392409256,35.768145232796755,False
2021-08-16,6392.10225461079,5500.9150390625,5402.378398954683,5500.9150390625,69282000,50.460554554154506,5783.477480053633,5590.485224132824,5652.3851169960635,5711.222717638818,5574.690423027021,147.79468108201945,58.1734524026413,False
2021-08-18,5570.22804354307,5792.240444483902,5535.188353752367,5586.598771898674,186354500,46.739890072651924,5905.202434965065,5945.739712662761,5700.319051710996,5799.913108196667,5633.455034625772,115.90719984043972,69.720201890201,False
2021-08-19,4500.386711350154,5655.14599609375,5595.167174923059,5655.14599609375,100926000,46.131706983635745,5838.207556680666,5955.269480944807,5595.24907633137,5752.4865116327865,5652.582832893261,4.259782626201741,56.628118037401144,True
2021-08-20,5952.835843747469,5655.14599609375,5578.03036887429,5655.14599609375,120163500,50.16450589137932,5570.643387614564,5835.801567081724,5641.620684794689,5625.9636071120285,5614.064754463967,32.60307847436252,51.82311012479342,False
2021-08-23,5918.251258248778,5646.5771484375,5582.314130814919,5582.314130814919,68253000,50.01969057795059,5647.081878841145,5888.511749634845,5635.80260010138,5656.432150495378,5632.148765998417,51.678935028161504,51.79427510546704,False
2021-08-24,5372.727587538569,5655.14599609375,5569.461965849906,5629.440787020597,59561500,45.46894900249786,5701.315754722672,5666.760822300052,5628.623023216438,5657.17701876406,5610.83028341042,22.517915177153554,45.93900311980434,True
2021-08-25,6282.523449087883,5659.430197605942,5642.293391557174,5655.14599609375,80751500,59.28085351041964,5635.598121285851,5462.8858888856075,5704.312800774185,5621.174664102535,5627.266802569482,71.99065592827992,51.149333681499456,True
2021-08-26,6967.056469418139,5638.008875404917,5543.756447396628,5620.8720703125,74337000,54.42218979147317,5764.983186846258,5605.34496999457,5780.307225469689,5598.614374219103,5694.38656339157,164.53756661800526,73.82698026880061,False
2021-08-27,6457.888923698369,5595.166099630376,5560.892494119624,5560.892494119624,71572500,52.070505099453044,6005.397843360634,6098.678921608168,5967.2402443449455,5793.973430399182,5715.5218140118905,194.5534039201384,97.97226499906817,False
2021-08-30,4204.854047015909,5638.009343166888,5586.598923624333,5595.167326881426,74564500,48.31243487866507,6095.896059428182,6199.689537598347,6044.100643616596,5823.764912600369,5723.761850152799,36.123674846910944,85.60254696863673,True
2021-08-31,5982.38257951299,5629.441005933922,5582.3147874672,5586.598989145992,115373500,51.76205401767057,5717.687656945727,5857.010095351774,5761.885458825913,5704.75204726155,5658.987378734488,53.38330081669301,79.15869773824798,True
